Category: All categories

Time,16 and pregnant: (United States),birth control: (United States),abortion: (United States)
2024-02-22T05:28:00-06:00,7,32,32
2024-02-22T05:36:00-06:00,0,24,25
2024-02-22T05:44:00-06:00,0,32,29
2024-02-22T05:52:00-06:00,6,18,31
2024-02-22T06:00:00-06:00,4,40,29
2024-02-22T06:08:00-06:00,0,37,31
2024-02-22T06:16:00-06:00,3,35,33
2024-02-22T06:24:00-06:00,2,25,33
2024-02-22T06:32:00-06:00,2,35,34
2024-02-22T06:40:00-06:00,0,27,28
2024-02-22T06:48:00-06:00,0,30,31
2024-02-22T06:56:00-06:00,0,28,39
2024-02-22T07:04:00-06:00,1,30,28
2024-02-22T07:12:00-06:00,1,22,27
2024-02-22T07:20:00-06:00,1,27,31
2024-02-22T07:28:00-06:00,1,32,27
2024-02-22T07:36:00-06:00,6,27,25
2024-02-22T07:44:00-06:00,2,61,65
2024-02-22T07:52:00-06:00,0,21,28
2024-02-22T08:00:00-06:00,1,27,32
2024-02-22T08:08:00-06:00,0,29,28
2024-02-22T08:16:00-06:00,1,28,25
2024-02-22T08:24:00-06:00,0,27,26
2024-02-22T08:32:00-06:00,0,24,32
2024-02-22T08:40:00-06:00,2,31,30
2024-02-22T08:48:00-06:00,0,31,28
2024-02-22T08:56:00-06:00,0,27,27
2024-02-22T09:04:00-06:00,1,31,25
2024-02-22T09:12:00-06:00,2,26,30
2024-02-22T09:20:00-06:00,4,49,65
2024-02-22T09:28:00-06:00,0,28,31
2024-02-22T09:36:00-06:00,2,31,35
2024-02-22T09:44:00-06:00,1,31,26
2024-02-22T09:52:00-06:00,1,32,27
2024-02-22T10:00:00-06:00,0,28,29
2024-02-22T10:08:00-06:00,1,30,30
2024-02-22T10:16:00-06:00,1,27,33
2024-02-22T10:24:00-06:00,0,23,31
2024-02-22T10:32:00-06:00,1,32,31
2024-02-22T10:40:00-06:00,1,29,29
2024-02-22T10:48:00-06:00,1,30,31
2024-02-22T10:56:00-06:00,2,24,26
2024-02-22T11:04:00-06:00,1,28,30
2024-02-22T11:12:00-06:00,1,30,27
2024-02-22T11:20:00-06:00,1,27,31
2024-02-22T11:28:00-06:00,0,32,28
2024-02-22T11:36:00-06:00,1,28,32
2024-02-22T11:44:00-06:00,1,20,30
2024-02-22T11:52:00-06:00,1,31,29
2024-02-22T12:00:00-06:00,1,32,31
2024-02-22T12:08:00-06:00,0,29,27
2024-02-22T12:16:00-06:00,2,24,31
2024-02-22T12:24:00-06:00,1,28,30
2024-02-22T12:32:00-06:00,2,30,30
2024-02-22T12:40:00-06:00,2,59,54
2024-02-22T12:48:00-06:00,0,28,28
2024-02-22T12:56:00-06:00,1,31,31
2024-02-22T13:04:00-06:00,1,31,32
2024-02-22T13:12:00-06:00,1,28,32
2024-02-22T13:20:00-06:00,0,61,52
2024-02-22T13:28:00-06:00,0,27,28
2024-02-22T13:36:00-06:00,1,33,32
2024-02-22T13:44:00-06:00,2,30,28
2024-02-22T13:52:00-06:00,1,29,27
2024-02-22T14:00:00-06:00,1,30,27
2024-02-22T14:08:00-06:00,2,29,32
2024-02-22T14:16:00-06:00,1,30,32
2024-02-22T14:24:00-06:00,1,30,34
2024-02-22T14:32:00-06:00,0,31,28
2024-02-22T14:40:00-06:00,0,26,28
2024-02-22T14:48:00-06:00,0,28,31
2024-02-22T14:56:00-06:00,1,26,32
2024-02-22T15:04:00-06:00,2,33,27
2024-02-22T15:12:00-06:00,0,32,26
2024-02-22T15:20:00-06:00,2,26,26
2024-02-22T15:28:00-06:00,0,27,28
2024-02-22T15:36:00-06:00,0,51,56
2024-02-22T15:44:00-06:00,2,34,30
2024-02-22T15:52:00-06:00,1,29,29
2024-02-22T16:00:00-06:00,2,34,26
2024-02-22T16:08:00-06:00,1,29,25
2024-02-22T16:16:00-06:00,1,30,28
2024-02-22T16:24:00-06:00,2,25,27
2024-02-22T16:32:00-06:00,2,31,27
2024-02-22T16:40:00-06:00,2,39,29
2024-02-22T16:48:00-06:00,1,30,31
2024-02-22T16:56:00-06:00,0,24,31
2024-02-22T17:04:00-06:00,1,29,32
2024-02-22T17:12:00-06:00,1,29,28
2024-02-22T17:20:00-06:00,0,25,21
2024-02-22T17:28:00-06:00,1,31,33
2024-02-22T17:36:00-06:00,1,27,35
2024-02-22T17:44:00-06:00,2,59,67
2024-02-22T17:52:00-06:00,2,28,32
2024-02-22T18:00:00-06:00,1,31,24
2024-02-22T18:08:00-06:00,1,26,30
2024-02-22T18:16:00-06:00,1,28,24
2024-02-22T18:24:00-06:00,1,32,29
2024-02-22T18:32:00-06:00,0,36,30
2024-02-22T18:40:00-06:00,0,35,33
2024-02-22T18:48:00-06:00,2,30,32
2024-02-22T18:56:00-06:00,0,31,29
2024-02-22T19:04:00-06:00,3,31,34
2024-02-22T19:12:00-06:00,0,29,33
2024-02-22T19:20:00-06:00,2,32,39
2024-02-22T19:28:00-06:00,1,33,30
2024-02-22T19:36:00-06:00,1,37,33
2024-02-22T19:44:00-06:00,1,35,34
2024-02-22T19:52:00-06:00,1,74,62
2024-02-22T20:00:00-06:00,3,75,67
2024-02-22T20:08:00-06:00,0,91,66
